,CD4 T_marker_mean,DC_marker_mean,Endothelial Cells_marker_mean,Macrophages_marker_mean,Mast Cells_marker_mean,NK_marker_mean,Neutrophils_marker_mean,Cancer Cells_marker_mean,Unnamed: 0,cancer_type,reference_dataset,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,B Cells,CD8 T,Fibroblasts
TCGA-CN-5367-01A,19.553,31.97,39.243,47.913,2.932,3.157,5.334,79.463,465,HNSC,D1D2_ref,0.009,0.02,0.147,0.018,0.009,0.002,0.184,0.063,0.11,0.086,0.155,0.034,0.011,0.07,0.07,0.01,0.028999999999999998,0.026999999999999996,0.241
TCGA-WA-A7GZ-01A,35.729,74.801,38.903,16.34,6.268,4.599,3.862,121.896,466,HNSC,D1D2_ref,0.024,0.049,0.177,0.026,0.005,0.005,0.0,0.046,0.103,0.11,0.178,0.022,0.008,0.09,0.127,0.03,0.07300000000000001,0.031,0.288
TCGA-CN-5365-01A,4.753,34.118,24.271,49.101,1.801,15.554,4.246,38.312,467,HNSC,D1D2_ref,0.014,0.011,0.097,0.049,0.011,0.001,0.286,0.057,0.098,0.029,0.098,0.031,0.007,0.1,0.089,0.021,0.025,0.06,0.127
TCGA-CV-7095-01A,19.829,22.093,29.862,23.585,1.0,5.71,2.727,68.836,468,HNSC,D1D2_ref,0.017,0.021,0.124,0.022,0.012,0.002,0.076,0.054,0.125,0.07,0.193,0.039,0.008,0.072,0.119,0.047,0.038000000000000006,0.034,0.263
TCGA-QK-A8ZA-01A,6.399,25.753,42.154,12.473,4.048,4.08,5.716,433.658,469,HNSC,D1D2_ref,0.045,0.015,0.089,0.056,0.002,0.002,0.321,0.056,0.088,0.047,0.071,0.021,0.013,0.039,0.105,0.03,0.06,0.058,0.118
TCGA-CV-A6JE-01A,8.364,59.804,41.666,70.581,2.137,64.411,2.675,159.838,470,HNSC,D1D2_ref,0.021,0.006,0.081,0.051,0.007,0.002,0.136,0.069,0.097,0.092,0.145,0.054,0.023,0.106,0.1,0.009,0.027000000000000003,0.057999999999999996,0.237
TCGA-CQ-7063-01A,17.965,117.949,46.851,53.556,9.099,35.783,4.223,24.845,471,HNSC,D1D2_ref,0.007,0.012,0.133,0.086,0.015,0.001,0.086,0.061,0.119,0.06,0.104,0.052,0.008,0.085,0.129,0.041,0.019,0.10099999999999999,0.16399999999999998
TCGA-BB-4227-01A,3.691,6.353,25.478,29.533,6.799,2.558,3.697,1790.487,472,HNSC,D1D2_ref,0.017,0.025,0.109,0.016,0.009,0.003,0.31,0.032,0.128,0.054,0.082,0.039,0.008,0.037,0.109,0.022,0.042,0.025,0.136
TCGA-CV-6433-01A,28.18,111.92,34.666,106.083,1.847,163.503,8.814,1281.578,473,HNSC,D1D2_ref,0.032,0.007,0.097,0.127,0.018,0.0,0.229,0.083,0.105,0.026,0.093,0.047,0.01,0.057,0.054,0.014,0.039,0.145,0.119
TCGA-CN-5373-01A,25.675,90.56,66.854,47.346,9.953,13.401,6.983,36.338,474,HNSC,D1D2_ref,0.017,0.027,0.138,0.036,0.021,0.001,0.12,0.047,0.079,0.133,0.124,0.039,0.006,0.032,0.137,0.044,0.044,0.056999999999999995,0.257
TCGA-CV-7103-01A,17.458,10.832,97.64,23.542,15.788,5.791,2.53,1137.979,475,HNSC,D1D2_ref,0.019,0.062,0.163,0.013,0.012,0.005,0.0,0.034,0.133,0.148,0.216,0.038,0.006,0.035,0.08,0.038,0.081,0.025,0.364
TCGA-CV-7568-01A,11.537,16.088,55.557,18.242,5.088,31.19,6.531,8.929,476,HNSC,D1D2_ref,0.019,0.019,0.139,0.036,0.015,0.004,0.048,0.04,0.128,0.118,0.191,0.021,0.008,0.051,0.129,0.037,0.038,0.051,0.309
TCGA-CN-6989-01A,99.479,22.8,147.825,88.939,14.245,3.744,8.366,689.801,477,HNSC,D1D2_ref,0.009,0.047,0.171,0.016,0.014,0.003,0.0,0.028,0.129,0.17,0.168,0.056,0.006,0.04,0.086,0.057,0.056,0.03,0.338
TCGA-CV-6943-01A,31.905,71.966,126.271,91.348,15.221,79.966,9.051,161.037,478,HNSC,D1D2_ref,0.016,0.016,0.097,0.07,0.045,0.001,0.0,0.066,0.15,0.169,0.142,0.052,0.007,0.021,0.11,0.037,0.032,0.115,0.311
TCGA-CV-7424-01A,15.176,27.722,50.489,40.578,12.424,21.247,4.689,1240.245,479,HNSC,D1D2_ref,0.031,0.03,0.11,0.023,0.026,0.001,0.0,0.053,0.122,0.127,0.23,0.036,0.008,0.049,0.099,0.057,0.061,0.049,0.357
TCGA-BA-4078-01A,22.007,19.101,106.548,51.197,12.466,5.155,8.388,831.086,480,HNSC,D1D2_ref,0.019,0.059,0.17,0.044,0.009,0.004,0.0,0.037,0.165,0.108,0.207,0.035,0.008,0.017,0.069,0.048,0.078,0.053,0.315
TCGA-CN-4739-01A,14.75,17.799,65.291,32.275,10.346,20.94,29.434,597.369,481,HNSC,D1D2_ref,0.055,0.083,0.129,0.065,0.011,0.001,0.0,0.044,0.141,0.076,0.118,0.032,0.007,0.02,0.12,0.099,0.138,0.076,0.194
TCGA-CV-5430-01A,19.148,24.733,62.175,31.756,5.21,13.002,8.724,2101.872,482,HNSC,D1D2_ref,0.032,0.021,0.101,0.053,0.017,0.001,0.29,0.09,0.098,0.07,0.05,0.043,0.006,0.023,0.088,0.018,0.053000000000000005,0.07,0.12000000000000001
TCGA-CR-7399-01A,37.745,44.172,32.828,81.877,1.849,43.995,12.777,1017.264,483,HNSC,D1D2_ref,0.013,0.01,0.133,0.06,0.029,0.002,0.27,0.086,0.081,0.072,0.07,0.072,0.005,0.033,0.051,0.013,0.023,0.089,0.14200000000000002
TCGA-CQ-5334-01A,39.511,70.858,150.338,106.575,8.562,52.371,6.208,168.166,484,HNSC,D1D2_ref,0.009,0.025,0.143,0.051,0.017,0.001,0.0,0.033,0.148,0.119,0.186,0.041,0.004,0.077,0.098,0.049,0.034,0.068,0.305
TCGA-CR-7402-01A,16.931,23.189,74.198,21.494,10.0,16.14,6.648,298.12,485,HNSC,D1D2_ref,0.049,0.026,0.147,0.053,0.002,0.001,0.12,0.066,0.127,0.059,0.135,0.018,0.014,0.046,0.088,0.05,0.075,0.055,0.194
TCGA-CR-7389-01A,19.573,33.819,146.387,45.458,19.935,2.775,8.07,182.839,486,HNSC,D1D2_ref,0.06,0.04,0.143,0.014,0.01,0.002,0.0,0.033,0.175,0.103,0.122,0.035,0.006,0.031,0.147,0.078,0.1,0.024,0.22499999999999998
TCGA-BA-6868-01B,17.137,33.995,35.533,8.505,7.58,3.016,10.017,397.324,487,HNSC,D1D2_ref,0.022,0.029,0.131,0.036,0.01,0.001,0.017,0.057,0.113,0.104,0.189,0.014,0.013,0.072,0.126,0.065,0.051000000000000004,0.046,0.293
TCGA-CV-6951-01A,5.428,20.135,29.85,15.802,11.934,9.165,3.23,1017.927,488,HNSC,D1D2_ref,0.026,0.044,0.127,0.009,0.012,0.006,0.149,0.036,0.099,0.088,0.136,0.04,0.006,0.045,0.141,0.036,0.06999999999999999,0.020999999999999998,0.224
TCGA-F7-8298-01A,31.012,33.773,69.813,41.064,4.382,16.286,6.814,54.983,489,HNSC,D1D2_ref,0.015,0.021,0.128,0.04,0.007,0.002,0.038,0.05,0.178,0.097,0.169,0.033,0.007,0.101,0.091,0.023,0.036000000000000004,0.047,0.266
TCGA-D6-6515-01A,34.494,88.078,96.663,144.774,12.301,44.849,16.165,201.86,490,HNSC,D1D2_ref,0.017,0.013,0.171,0.064,0.023,0.001,0.0,0.065,0.112,0.169,0.142,0.06,0.011,0.034,0.097,0.022,0.03,0.087,0.311
TCGA-CV-7180-01A,3.263,9.096,17.605,7.073,2.618,4.962,5.378,77.788,491,HNSC,D1D2_ref,0.022,0.058,0.139,0.019,0.007,0.008,0.1,0.037,0.129,0.068,0.094,0.024,0.013,0.072,0.156,0.054,0.08,0.026,0.162
TCGA-CV-7242-01A,18.927,43.461,51.531,32.302,33.924,25.557,7.58,903.024,492,HNSC,D1D2_ref,0.051,0.05,0.12,0.072,0.016,0.0,0.005,0.073,0.131,0.079,0.138,0.026,0.015,0.048,0.108,0.068,0.101,0.088,0.21700000000000003
TCGA-BA-6871-01A,23.354,29.008,181.751,43.527,17.734,28.913,16.001,347.895,493,HNSC,D1D2_ref,0.021,0.03,0.155,0.07,0.003,0.002,0.028,0.059,0.16,0.128,0.199,0.025,0.005,0.034,0.037,0.043,0.051000000000000004,0.07300000000000001,0.327
TCGA-CR-7371-01A,52.598,33.873,135.161,52.632,19.73,16.066,24.326,1042.843,494,HNSC,D1D2_ref,0.033,0.031,0.132,0.068,0.015,0.002,0.0,0.039,0.151,0.093,0.152,0.045,0.007,0.013,0.11,0.11,0.064,0.083,0.245
TCGA-CV-5432-01A,5.559,6.632,47.968,28.709,5.904,4.557,3.184,293.244,495,HNSC,D1D2_ref,0.03,0.028,0.128,0.06,0.009,0.001,0.014,0.053,0.149,0.062,0.197,0.047,0.008,0.073,0.088,0.054,0.057999999999999996,0.06899999999999999,0.259
TCGA-CN-5360-01A,60.005,58.288,148.98,84.863,14.781,31.514,17.575,1052.252,496,HNSC,D1D2_ref,0.025,0.055,0.113,0.072,0.017,0.001,0.008,0.038,0.138,0.083,0.14,0.073,0.005,0.021,0.129,0.084,0.08,0.089,0.22300000000000003
TCGA-CQ-A4C6-01A,25.283,75.987,42.365,35.309,9.532,16.372,3.816,11.52,497,HNSC,D1D2_ref,0.013,0.027,0.139,0.05,0.006,0.001,0.021,0.058,0.114,0.069,0.21,0.017,0.009,0.113,0.107,0.047,0.04,0.056,0.279
TCGA-MT-A7BN-01A,7.842,43.409,78.07,82.271,10.541,27.222,8.624,1961.27,498,HNSC,D1D2_ref,0.037,0.017,0.064,0.028,0.017,0.001,0.0,0.072,0.14,0.096,0.26,0.084,0.018,0.076,0.029,0.058,0.054,0.045,0.356
TCGA-CN-A641-01A,4.476,14.08,38.714,10.826,5.386,1.0,5.946,74.871,499,HNSC,D1D2_ref,0.039,0.028,0.114,0.011,0.005,0.004,0.292,0.068,0.093,0.039,0.066,0.018,0.012,0.049,0.117,0.044,0.067,0.016,0.10500000000000001
TCGA-TQ-A7RO-01A,1.0,4.518,53.23,23.051,4.971,1.725,8.097,1.795,4162,LGG,D1D2_ref,0.021,0.011,0.097,0.007,0.031,0.001,0.361,0.06,0.113,0.038,0.108,0.051,0.007,0.024,0.012,0.058,0.032,0.038,0.146
TCGA-CS-6670-01A,1.0,2.938,34.968,19.403,2.852,1.0,3.914,1.054,4163,LGG,D1D2_ref,0.011,0.02,0.13,0.004,0.024,0.002,0.236,0.069,0.144,0.034,0.163,0.06,0.008,0.042,0.009,0.044,0.031,0.028,0.197
TCGA-QH-A6X5-01A,1.0,2.986,37.991,23.059,3.837,1.0,5.289,1.0,4164,LGG,D1D2_ref,0.017,0.036,0.144,0.003,0.008,0.004,0.184,0.054,0.14,0.046,0.181,0.096,0.01,0.035,0.008,0.037,0.053,0.011,0.22699999999999998
TCGA-HW-7493-01A,1.118,4.902,35.8,74.307,8.478,1.72,12.307,1.012,4165,LGG,D1D2_ref,0.006,0.018,0.075,0.006,0.047,0.001,0.388,0.055,0.098,0.041,0.094,0.044,0.017,0.021,0.032,0.058,0.024,0.053,0.135
TCGA-CS-6667-01A,1.0,3.086,79.71,32.424,7.342,1.0,8.29,1.0,4166,LGG,D1D2_ref,0.009,0.03,0.102,0.006,0.006,0.004,0.119,0.018,0.227,0.023,0.242,0.104,0.008,0.039,0.014,0.048,0.039,0.012,0.265
TCGA-DU-6406-01A,1.0,9.384,142.294,61.299,3.77,1.875,12.548,1.0,4167,LGG,D1D2_ref,0.014,0.018,0.083,0.031,0.007,0.0,0.281,0.089,0.138,0.05,0.131,0.031,0.013,0.063,0.031,0.021,0.032,0.038,0.181
TCGA-DU-A7TA-01A,1.0,10.876,67.999,118.593,7.699,3.28,20.222,9.732,4168,LGG,D1D2_ref,0.011,0.018,0.088,0.012,0.006,0.001,0.311,0.054,0.116,0.028,0.137,0.087,0.01,0.026,0.025,0.07,0.028999999999999998,0.018000000000000002,0.165
TCGA-QH-A6X4-01A,1.273,3.177,32.682,18.314,2.495,1.0,4.921,1.0,4169,LGG,D1D2_ref,0.021,0.016,0.113,0.009,0.004,0.003,0.417,0.062,0.089,0.042,0.084,0.069,0.004,0.033,0.014,0.019,0.037000000000000005,0.013,0.126
TCGA-TQ-A7RR-01A,1.0,5.737,39.478,81.046,5.963,1.0,19.272,1.0,4170,LGG,D1D2_ref,0.009,0.028,0.087,0.005,0.022,0.002,0.354,0.048,0.104,0.034,0.114,0.098,0.006,0.029,0.017,0.044,0.037,0.027,0.14800000000000002
TCGA-HT-8104-01A,1.035,6.934,95.26,41.249,5.502,1.469,13.019,1.0,4171,LGG,D1D2_ref,0.011,0.031,0.119,0.024,0.018,0.001,0.0,0.048,0.231,0.058,0.217,0.05,0.012,0.028,0.042,0.11,0.041999999999999996,0.041999999999999996,0.275
TCGA-HT-A74K-01A,1.0,4.699,190.171,94.351,7.402,1.0,6.726,1.085,4172,LGG,D1D2_ref,0.029,0.046,0.128,0.009,0.004,0.002,0.022,0.067,0.173,0.038,0.259,0.124,0.016,0.057,0.007,0.017,0.075,0.013,0.297
TCGA-DB-A64X-01A,1.0,3.507,41.93,33.796,3.111,1.0,3.691,1.0,4173,LGG,D1D2_ref,0.012,0.055,0.121,0.007,0.008,0.003,0.091,0.058,0.167,0.037,0.229,0.102,0.006,0.054,0.008,0.043,0.067,0.015,0.266
TCGA-HT-8107-01A,1.0,2.931,32.418,19.686,2.423,1.208,10.084,1.538,4174,LGG,D1D2_ref,0.021,0.01,0.128,0.007,0.046,0.001,0.416,0.101,0.096,0.039,0.044,0.015,0.019,0.022,0.031,0.006,0.031,0.053,0.08299999999999999
TCGA-FG-A710-01A,1.494,13.284,68.053,165.273,10.436,3.571,15.438,1.185,4175,LGG,D1D2_ref,0.015,0.018,0.101,0.013,0.015,0.001,0.371,0.068,0.108,0.018,0.093,0.095,0.007,0.02,0.015,0.04,0.033,0.027999999999999997,0.111
TCGA-QH-A6CX-01A,1.0,5.161,40.859,43.987,5.444,1.283,10.364,1.0,4176,LGG,D1D2_ref,0.014,0.031,0.114,0.006,0.02,0.002,0.0,0.05,0.155,0.055,0.298,0.124,0.013,0.05,0.024,0.043,0.045,0.026000000000000002,0.353
TCGA-CS-6666-01A,1.0,6.204,118.265,49.932,5.96,2.239,9.856,1.0,4177,LGG,D1D2_ref,0.006,0.052,0.11,0.012,0.003,0.003,0.118,0.035,0.199,0.04,0.244,0.064,0.007,0.057,0.011,0.039,0.057999999999999996,0.015,0.284
TCGA-TM-A7CA-01A,1.0,5.196,27.489,40.9,4.048,1.0,5.148,1.811,4178,LGG,D1D2_ref,0.016,0.025,0.077,0.011,0.029,0.001,0.448,0.051,0.083,0.027,0.081,0.067,0.007,0.024,0.013,0.042,0.041,0.04,0.108
TCGA-HW-7486-01A,1.0,5.026,33.141,55.401,5.425,1.0,8.468,1.02,4179,LGG,D1D2_ref,0.015,0.014,0.115,0.006,0.011,0.003,0.385,0.023,0.132,0.039,0.099,0.079,0.01,0.023,0.013,0.033,0.028999999999999998,0.017,0.138
TCGA-QH-A6X8-01A,1.777,8.654,45.555,41.435,11.355,1.273,7.854,1.0,4180,LGG,D1D2_ref,0.011,0.016,0.106,0.013,0.006,0.001,0.315,0.054,0.136,0.038,0.133,0.064,0.01,0.046,0.014,0.037,0.027,0.019,0.171
TCGA-DU-A76K-01A,1.0,2.839,41.59,9.23,2.37,1.565,4.494,1.695,4181,LGG,D1D2_ref,0.012,0.027,0.129,0.005,0.037,0.002,0.213,0.072,0.131,0.06,0.159,0.05,0.012,0.016,0.019,0.057,0.039,0.041999999999999996,0.219
TCGA-DB-A4XD-01A,1.0,4.045,28.556,43.063,6.75,1.0,9.199,1.0,4182,LGG,D1D2_ref,0.01,0.033,0.104,0.013,0.007,0.002,0.208,0.017,0.151,0.044,0.182,0.082,0.01,0.04,0.024,0.074,0.043000000000000003,0.02,0.22599999999999998
TCGA-DH-A669-01A,2.818,30.95,58.501,61.327,7.173,2.534,7.758,1.894,4183,LGG,D1D2_ref,0.022,0.022,0.106,0.035,0.011,0.0,0.371,0.074,0.091,0.039,0.103,0.05,0.012,0.037,0.016,0.009,0.044,0.046,0.142
TCGA-WY-A858-01A,1.0,4.937,108.878,114.896,6.663,1.222,18.745,1.0,4184,LGG,D1D2_ref,0.009,0.05,0.12,0.006,0.004,0.006,0.12,0.06,0.183,0.021,0.174,0.164,0.008,0.049,0.011,0.016,0.059000000000000004,0.01,0.19499999999999998
TCGA-DU-7294-01A,1.0,1.873,28.069,26.032,3.661,1.0,5.762,1.0,4185,LGG,D1D2_ref,0.011,0.018,0.123,0.003,0.005,0.007,0.433,0.048,0.086,0.043,0.099,0.044,0.007,0.032,0.015,0.027,0.028999999999999998,0.008,0.14200000000000002
TCGA-TM-A7C3-01A,1.17,4.605,75.029,32.664,3.191,3.106,10.928,1.0,4186,LGG,D1D2_ref,0.027,0.045,0.115,0.022,0.011,0.001,0.0,0.053,0.215,0.069,0.238,0.038,0.008,0.058,0.026,0.074,0.072,0.033,0.307
TCGA-WY-A85E-01A,1.0,2.625,29.218,22.836,6.972,1.0,5.581,1.0,4187,LGG,D1D2_ref,0.006,0.029,0.106,0.005,0.025,0.001,0.398,0.063,0.103,0.031,0.104,0.054,0.011,0.022,0.01,0.031,0.035,0.030000000000000002,0.135
TCGA-FG-A6J1-01A,1.0,7.585,130.962,88.512,7.18,3.692,11.58,1.0,4188,LGG,D1D2_ref,0.026,0.041,0.11,0.013,0.003,0.004,0.205,0.069,0.129,0.041,0.159,0.1,0.007,0.049,0.006,0.041,0.067,0.016,0.2
TCGA-QH-A65Z-01A,1.085,3.471,41.355,22.689,5.544,1.0,4.915,2.303,4189,LGG,D1D2_ref,0.022,0.019,0.123,0.006,0.011,0.002,0.365,0.048,0.105,0.044,0.105,0.056,0.007,0.04,0.009,0.038,0.040999999999999995,0.017,0.149
TCGA-VM-A8CD-01A,1.0,32.541,61.775,74.023,4.205,2.758,17.491,1.018,4190,LGG,D1D2_ref,0.019,0.01,0.091,0.025,0.036,0.0,0.288,0.066,0.113,0.053,0.12,0.059,0.015,0.026,0.036,0.043,0.028999999999999998,0.061,0.173
TCGA-HT-8019-01A,1.0,1.094,27.803,9.503,1.586,1.0,3.674,1.45,4191,LGG,D1D2_ref,0.021,0.012,0.144,0.007,0.046,0.001,0.415,0.105,0.095,0.028,0.052,0.018,0.013,0.02,0.019,0.005,0.033,0.053,0.08
TCGA-QH-A6CV-01A,1.0,10.96,105.276,90.816,7.2,2.682,15.881,1.0,4192,LGG,D1D2_ref,0.021,0.013,0.087,0.036,0.007,0.0,0.258,0.071,0.136,0.043,0.137,0.082,0.016,0.044,0.019,0.028,0.034,0.043,0.18
TCGA-FG-A6IZ-01A,1.116,5.299,68.787,58.673,4.447,1.722,7.155,1.026,4193,LGG,D1D2_ref,0.033,0.033,0.114,0.015,0.003,0.002,0.386,0.083,0.063,0.03,0.081,0.086,0.014,0.043,0.005,0.008,0.066,0.018,0.111
TCGA-P5-A5F1-01A,1.0,20.994,45.854,59.163,5.737,2.384,6.891,1.0,4194,LGG,D1D2_ref,0.01,0.018,0.11,0.014,0.007,0.002,0.098,0.052,0.152,0.029,0.265,0.113,0.01,0.062,0.012,0.046,0.027999999999999997,0.021,0.29400000000000004
TCGA-P5-A72U-01A,2.304,5.932,165.591,68.084,5.77,5.705,8.695,1.469,4195,LGG,D1D2_ref,0.016,0.024,0.095,0.008,0.022,0.001,0.0,0.06,0.218,0.088,0.27,0.056,0.01,0.046,0.048,0.039,0.04,0.03,0.358
TCGA-CS-4943-01A,1.0,7.236,44.92,106.848,5.692,1.251,12.969,1.0,4196,LGG,D1D2_ref,0.01,0.034,0.091,0.02,0.003,0.002,0.351,0.06,0.107,0.033,0.106,0.087,0.005,0.031,0.012,0.047,0.044000000000000004,0.023,0.139
TCGA-P5-A5EW-01A,1.0,8.953,26.825,138.969,12.25,1.0,10.639,1.0,4197,LGG,D1D2_ref,0.007,0.028,0.086,0.009,0.02,0.003,0.266,0.016,0.132,0.038,0.152,0.089,0.009,0.03,0.031,0.084,0.035,0.028999999999999998,0.19
TCGA-E1-5322-01A,1.0,9.141,32.19,148.206,8.564,1.223,28.899,1.0,4198,LGG,D1D2_ref,0.008,0.034,0.114,0.009,0.005,0.002,0.269,0.062,0.117,0.022,0.137,0.097,0.01,0.03,0.017,0.066,0.042,0.013999999999999999,0.159
TCGA-HT-A4DS-01A,1.0,12.375,70.132,106.167,6.907,4.698,13.856,2.357,4199,LGG,D1D2_ref,0.024,0.026,0.114,0.022,0.013,0.001,0.126,0.097,0.104,0.044,0.178,0.156,0.01,0.062,0.008,0.016,0.05,0.034999999999999996,0.22199999999999998
TCGA-FG-7634-01A,2.889,7.21,111.583,98.649,7.415,4.868,33.096,1.0,4200,LGG,D1D2_ref,0.015,0.012,0.108,0.016,0.013,0.001,0.245,0.041,0.137,0.052,0.145,0.055,0.011,0.021,0.051,0.077,0.027,0.028999999999999998,0.19699999999999998
TCGA-DU-7306-01A,1.0,3.985,40.781,32.708,20.232,1.0,6.577,1.0,4201,LGG,D1D2_ref,0.006,0.012,0.104,0.005,0.009,0.003,0.229,0.037,0.145,0.02,0.204,0.097,0.012,0.048,0.021,0.049,0.018000000000000002,0.013999999999999999,0.22399999999999998
TCGA-FG-7636-01A,1.0,2.542,23.988,44.629,3.875,1.0,5.48,1.0,4202,LGG,D1D2_ref,0.01,0.04,0.121,0.003,0.012,0.002,0.282,0.085,0.103,0.039,0.152,0.075,0.01,0.035,0.007,0.025,0.05,0.015,0.191
TCGA-S9-A7J3-01A,1.2,7.205,55.784,21.355,5.716,1.099,8.419,1.746,4203,LGG,D1D2_ref,0.016,0.01,0.104,0.006,0.021,0.001,0.363,0.048,0.133,0.043,0.088,0.058,0.01,0.028,0.026,0.046,0.026000000000000002,0.027000000000000003,0.131
TCGA-DU-A6S7-01A,1.0,6.309,52.729,121.007,8.685,1.888,16.216,1.0,4204,LGG,D1D2_ref,0.009,0.028,0.099,0.018,0.004,0.002,0.261,0.021,0.127,0.029,0.163,0.114,0.007,0.038,0.021,0.059,0.037,0.022,0.192
TCGA-DU-6396-01A,1.56,25.284,80.784,226.238,6.364,15.181,52.824,1.0,4205,LGG,D1D2_ref,0.006,0.019,0.087,0.01,0.02,0.001,0.225,0.041,0.089,0.021,0.137,0.162,0.008,0.029,0.049,0.093,0.025,0.03,0.158
TCGA-S9-A7QW-01A,1.0,2.929,18.846,28.042,1.764,1.0,5.748,1.0,4206,LGG,D1D2_ref,0.016,0.03,0.126,0.013,0.003,0.004,0.379,0.035,0.077,0.04,0.114,0.06,0.006,0.045,0.006,0.045,0.046,0.016,0.154
TCGA-FG-7643-01A,1.0,1.739,42.182,15.545,1.829,2.151,6.444,3.154,4207,LGG,D1D2_ref,0.013,0.009,0.109,0.005,0.041,0.001,0.371,0.095,0.11,0.057,0.073,0.026,0.021,0.027,0.033,0.01,0.022,0.046,0.13
TCGA-S9-A7R4-01A,1.0,4.13,106.184,85.272,6.507,1.0,11.765,1.0,4208,LGG,D1D2_ref,0.008,0.025,0.079,0.006,0.017,0.002,0.252,0.039,0.186,0.02,0.175,0.1,0.006,0.022,0.016,0.046,0.033,0.023,0.19499999999999998
TCGA-DU-A6S8-01A,1.271,3.048,38.827,21.165,2.465,2.283,5.48,1.0,4209,LGG,D1D2_ref,0.017,0.023,0.1,0.007,0.012,0.002,0.519,0.067,0.06,0.035,0.059,0.039,0.005,0.037,0.008,0.01,0.04,0.019,0.094
TCGA-HT-7601-01A,1.208,11.13,45.382,304.653,12.003,5.498,49.64,1.0,4210,LGG,D1D2_ref,0.006,0.011,0.076,0.009,0.029,0.001,0.418,0.051,0.087,0.017,0.082,0.099,0.012,0.021,0.031,0.049,0.017,0.038,0.099
TCGA-HT-7854-01A,1.0,9.844,45.864,82.115,5.294,1.028,29.147,2.37,4211,LGG,D1D2_ref,0.011,0.012,0.078,0.004,0.071,0.001,0.203,0.03,0.137,0.053,0.121,0.086,0.018,0.027,0.075,0.075,0.023,0.075,0.174
TCGA-QH-A6X3-01A,1.0,2.603,21.516,49.001,2.749,1.0,4.848,1.0,4212,LGG,D1D2_ref,0.01,0.027,0.088,0.012,0.013,0.001,0.324,0.067,0.097,0.024,0.159,0.086,0.007,0.033,0.007,0.045,0.037,0.025,0.183
TCGA-P5-A5F0-01A,1.0,1.836,27.335,9.31,2.725,1.687,4.145,1.416,4213,LGG,D1D2_ref,0.02,0.013,0.119,0.008,0.038,0.001,0.488,0.067,0.084,0.038,0.038,0.02,0.007,0.02,0.016,0.023,0.033,0.046,0.076
TCGA-CS-5395-01A,1.211,6.365,39.722,31.182,5.154,1.927,7.69,1.0,4214,LGG,D1D2_ref,0.008,0.058,0.134,0.006,0.032,0.003,0.0,0.053,0.191,0.064,0.241,0.06,0.01,0.028,0.027,0.085,0.066,0.038,0.305
TCGA-DU-6402-01A,1.578,7.185,85.242,174.901,3.476,6.905,12.832,1.0,4215,LGG,D1D2_ref,0.008,0.018,0.127,0.016,0.019,0.001,0.164,0.072,0.139,0.062,0.174,0.06,0.011,0.051,0.041,0.037,0.026,0.035,0.236
TCGA-VM-A8CE-01A,1.0,6.444,49.296,64.97,4.005,1.0,10.46,1.0,4216,LGG,D1D2_ref,0.023,0.017,0.114,0.014,0.002,0.005,0.156,0.03,0.182,0.056,0.188,0.076,0.008,0.039,0.015,0.075,0.04,0.016,0.244
TCGA-HT-7467-01A,1.279,3.655,43.599,16.972,2.704,2.749,5.432,1.021,4217,LGG,D1D2_ref,0.014,0.013,0.113,0.005,0.028,0.001,0.406,0.049,0.134,0.045,0.069,0.043,0.009,0.029,0.023,0.016,0.027,0.033,0.114
TCGA-DB-A4XC-01A,1.134,8.542,37.016,51.164,5.366,2.599,15.475,1.0,4218,LGG,D1D2_ref,0.012,0.019,0.083,0.021,0.027,0.0,0.371,0.048,0.093,0.032,0.1,0.063,0.012,0.019,0.027,0.075,0.031,0.048,0.132
TCGA-RY-A83X-01A,1.0,2.995,43.138,32.979,2.64,1.0,6.093,1.0,4219,LGG,D1D2_ref,0.02,0.017,0.122,0.007,0.007,0.002,0.254,0.036,0.127,0.042,0.173,0.074,0.006,0.046,0.011,0.055,0.037000000000000005,0.014,0.215
TCGA-HT-A5R9-01A,1.512,2.836,44.199,14.554,3.493,2.896,5.049,1.032,4220,LGG,D1D2_ref,0.011,0.043,0.094,0.019,0.005,0.013,0.432,0.044,0.098,0.041,0.079,0.021,0.005,0.03,0.013,0.052,0.05399999999999999,0.024,0.12
TCGA-S9-A6WD-01A,1.0,2.982,34.234,22.378,5.021,1.0,5.098,7.627,4221,LGG,D1D2_ref,0.019,0.026,0.118,0.005,0.01,0.003,0.408,0.043,0.087,0.042,0.096,0.077,0.006,0.024,0.011,0.025,0.045,0.015,0.138
TCGA-F6-A8O4-01A,1.0,3.495,28.504,19.851,1.839,1.241,5.18,1.0,4222,LGG,D1D2_ref,0.007,0.028,0.111,0.007,0.033,0.002,0.369,0.049,0.101,0.038,0.105,0.069,0.008,0.02,0.012,0.043,0.035,0.04,0.143
TCGA-TQ-A7RV-01A,1.0,4.626,47.19,32.083,5.422,1.0,9.468,1.0,4223,LGG,D1D2_ref,0.011,0.027,0.098,0.005,0.025,0.001,0.349,0.038,0.119,0.031,0.117,0.084,0.007,0.028,0.013,0.044,0.038,0.030000000000000002,0.14800000000000002
