Mixture,B Cells,Cancer Cells,Endothelial Cells,Fibroblasts,Macrophages,Mast Cells,T Cells,P-value,Correlation,RMSE
TCGA-A5-A0R8-01A,0.0117774915064466,0,0.479400792346669,0.2476081327061,0.246833990871957,0,0.0143795925688281,0,0.44110998888192,0.931289362808806
TCGA-A5-A0G3-01A,0,0,0.196242999510692,0.465412796148828,0.33834420434048,0,0,0,0.298136879900414,1.05372281431874
TCGA-AP-A054-01A,0.0248011465424654,0,0.340469014843303,0.515016850005031,0.115542885973098,0,0.00417010263610183,0.02,0.125547661824183,1.17074209684267
TCGA-A5-A0GX-01A,0,0.22050772865475,0.254364679179272,0.406376315633669,0.115700316679154,0.00305095985315532,0,0,0.310242908596198,1.0132272602853
TCGA-DI-A2QY-01A,0,0.113784318049049,0.472810861043655,0.35252565147162,0.060879169435676,0,0,0,0.233386621741201,1.07531517341895
TCGA-EY-A1GC-01A,0.0467755050967425,0,0.169813525347494,0.0101402542772184,0.773270715278545,0,0,0,0.560396126527604,0.940438685840859
TCGA-A5-A0GI-01A,0.0755192007381021,0.106418132769266,0.433952675147027,0.293118918617975,0.0909910727276302,0,0,0,0.278567226972854,1.0232965031135
TCGA-D1-A17S-01A,0,0.124597002729447,0.352064176094959,0.189324345841262,0.334014475334332,0,0,0,0.353983540228533,0.985422628986035
TCGA-EY-A5W2-01A,0,0.194057330531883,0.130689692608757,0.341972880054211,0.333280096805149,0,0,0.02,0.144775913903286,1.12029975115205
TCGA-D1-A1NU-01A,0,0.0991212480594335,0.254358523130449,0.12687842790497,0.519641800905148,0,0,0,0.202689397643516,1.13031668907264
TCGA-BG-A18A-01A,0.017203530553623,0,0.453491460722719,0.461670583554069,0.0676344251695886,0,0,0,0.358262588081868,1.01554999126999
TCGA-AX-A06B-01A,0,0.0969803734524253,0.270749218118536,0.416516801693516,0.215753606735523,0,0,0,0.332551943406786,1.00479178380291
TCGA-E6-A2P9-01A,0.088924855308874,0.0330376182446027,0.549027767561897,0.0624204092982919,0.219682604170586,0,0.0469067454157479,0.05,0.0749924673470498,1.13742584166623
TCGA-PG-A917-01A,0.0427046511972331,0,0.206446920643464,0.155842449314932,0.59500597884437,0,0,0,0.504164860792008,0.925979366889573
TCGA-AX-A3FS-01A,0.0569675060163472,0,0.374703782078673,0.40429056777465,0.164038144130329,0,0,0,0.255115792675938,1.06270592469026
TCGA-A5-A2K4-01A,0.0580675439151112,0,0.50166315930917,0.290652053964583,0.149617242811136,0,0,0,0.251588475263516,1.05975120739448
TCGA-D1-A1O0-01A,0,0.0395661515229981,0.378703545488986,0.194578220857468,0.387152082130547,0,0,0,0.30796154831799,1.03287520244423
TCGA-B5-A0JS-01A,0.0266752634832685,0.0611677441562492,0.43528436427621,0.203288125284704,0.229386917153985,0.00541856216061407,0.0387790234849687,0,0.368190813652284,0.966291408947912
TCGA-AX-A1CE-01A,0,0.0824267627459131,0.327748900748567,0.144310639894949,0.386488836043024,0,0.0590248605675464,0.02,0.14475022276359,1.12080503278413
TCGA-D1-A17F-01A,0,0.102113207819288,0.264107120639985,0.120745680501317,0.51303399103941,0,0,0,0.543212748365947,0.868119426895394
TCGA-EO-A3AV-01A,0,0.029468372886996,0.167289252553497,0.28871066673361,0.324302074916454,0,0.190229632909443,0,0.40417726639183,0.940602004825568
TCGA-D1-A17B-01A,0.055615273097381,0,0.356301918022484,0.111169169706781,0.476913639173355,0,0,0,0.449212931233583,0.944874808619752
TCGA-E6-A8L9-01A,0.0214924744337579,0,0.460781857018446,0.281999914681063,0.235725753866734,0,0,0,0.240648397594463,1.07129521567632
TCGA-EY-A547-01A,0,0.343374467190364,0.134257723691775,0.0583756341577265,0.463992174960135,0,0,0.02,0.136385539314441,1.17238251611001
TCGA-AJ-A3OJ-01A,0.0432205896934672,0,0.401705481125792,0.276384158832674,0.270283593994513,0.00840617635355423,0,0,0.380672594481486,0.97206922569101
TCGA-BS-A0TJ-01A,0,0.130591550794182,0.289755560249932,0.459805702470116,0.11984718648577,0,0,0,0.202854621296332,1.09371078938357
TCGA-BG-A0VV-01A,0.0709689067856085,0.00779848825377393,0.603199620837586,0.122498807204265,0.195534176918766,0,0,0,0.413611650953883,0.945126560826649
TCGA-D1-A16V-01A,0.0102853249950794,0.0391511780434047,0.357082288094521,0.0812953814984846,0.512185827368511,0,0,0,0.454565021760348,0.947630623287238
TCGA-EO-A22R-01A,0.0297242606876961,0.312076523323532,0.152697744876966,0.172374477260544,0.333126993851262,0,0,0.01,0.166949376512658,1.10452196085447
TCGA-BG-A0MH-01A,0,0.114838933266466,0.308566795477129,0.344780178379286,0.167017056446066,0.00653025251257085,0.0582667839184818,0,0.386516924310627,0.953290363471219
TCGA-EO-A3KX-01A,0.023045481085217,0.0644097144470594,0.480372022309944,0.278945124534893,0.0976688730399495,0,0.0555587845829365,0,0.18346467228312,1.08535511992045
TCGA-AX-A0IS-01A,0.0275418768900838,0.147964927748491,0.434608008548868,0.267987883727006,0.0749214502362295,0,0.0469758528493218,0,0.346688048170988,0.976710865713873
TCGA-EY-A1G8-01A,0,0.0724612870186962,0.679957164642796,0.0911907214248634,0.156390826913644,0,0,0.01,0.150658743862768,1.12089761446982
