Mixture,B Cells,Cancer Cells,Endothelial Cells,Fibroblasts,Mast Cells,Myeloid cells,T Cells,P-value,Correlation,RMSE
TCGA-24-1104-01A,0.116035988230362,0.368508480892977,0.217355628135008,0.0876743789311061,0,0.210425523810548,0,0,0.237561534038317,1.00052813923697
TCGA-25-1320-01A,0.0217443327219091,0.281628869177992,0.0411584115372792,0.504663241859678,0.000746623508279101,0.150058521194863,0,0,0.262601809942116,1.0107900339123
TCGA-24-1850-01A,0.0185304356027085,0.357659686141368,0.0359764341179358,0.315297559781801,0,0.272535884356187,0,0,0.278434584931029,0.99472466816572
TCGA-61-2101-01A,0.153602602980236,0.379396243029947,0.0409274540097535,0.344651086239724,0.0030162363848181,0.0784063773555213,0,0,0.220695069914705,1.01235612733216
TCGA-23-1111-01A,0.0589885967888731,0.549729462049351,0.247168668337767,0.138858816139804,0,0.00525445668420495,0,0,0.212514036076123,1.02580157133175
TCGA-25-2396-01A,0.144360777167136,0.334177912964054,0.131197588094181,0.217252947242033,0,0.173010774532596,0,0,0.30318234603489,0.966501604150412
TCGA-30-1714-01A,0.161242064156633,0.507246783550736,0.124187228973998,0.0812081184266477,0,0.126115804891986,0,0,0.125577956364923,1.06341865997992
TCGA-04-1347-01A,0.0990406191452404,0.466948468937505,0.070321148054381,0.218474937887917,0,0.145214825974957,0,0,0.166095499963443,1.04326074724908
TCGA-59-2351-01A,0.288725385962449,0.156061622062736,0.19052189990963,0.111864982626898,0,0.252826109438286,0,0,0.452127097858736,0.89196313261959
TCGA-09-1659-01B,0.193736809567632,0.34746190502788,0.215704267813614,0.0811869820356714,0,0.161910035555202,0,0,0.271827655105175,0.979105734934367
TCGA-24-1431-01A,0.129378129995124,0.312704988954066,0.126586566626514,0.11292378353704,0.000162321197750745,0.318244209689506,0,0.01,0.119269080560828,1.07033783072495
TCGA-31-1951-01A,0.0869311632693145,0.1132261035046,0.135468363701067,0.370265386676434,0,0.294108982848584,0,0,0.33131328750998,0.965797512800166
TCGA-29-1769-01A,0.0715818014641104,0.461541670931884,0.120633863515976,0.198486125423111,0,0.147756538664918,0,0,0.223351843173615,1.01378355352817
TCGA-13-0916-01A,0.33534799262911,0.080905070910339,0.267242397646776,0.0177683233689823,0,0.298736215444793,0,0,0.521000646145917,0.853491742610322
TCGA-61-1721-01A,0.0220432881519364,0,0.350914734789428,0.47613433286302,0.0011014978885631,0.149806146307053,0,0,0.522584734523322,0.854360281965167
TCGA-20-1687-01A,0.167595399767132,0.285440851371158,0.145459870940762,0.192903260098924,0,0.208600617822024,0,0,0.483426259377985,0.875484774682015
TCGA-29-2414-01A,0.0666623661609128,0.249835909791496,0.114812038123565,0.480102408617992,0,0.0885872773060346,0,0,0.304573677178681,0.980387474368787
TCGA-13-1411-01A,0,0.253686758737813,0.0299661805541982,0.294689672644282,0,0.403286455614183,0.0183709324495244,0,0.382610757410995,0.944372456893403
TCGA-24-1928-01A,0.0403503816908539,0.373309981931101,0.0893115495999056,0.341123762282575,0,0.155904324495565,0,0,0.302392774429536,0.975600615757938
TCGA-31-1959-01A,0,0.300724450720357,0.0625976223997711,0.393105855536406,0,0.243572071343466,0,0,0.425527998640757,0.912297441971836
TCGA-57-1586-01A,0.12064340564306,0.479882463176336,0.109416855609312,0.0109862644483708,0,0.279071011122922,0,0,0.285998860626804,0.996529670541737
TCGA-09-2044-01B,0.093654566255706,0.209449109146858,0.211619030342161,0.0601106611666383,0,0.425166633088637,0,0,0.404270132513752,0.929789189592985
TCGA-13-1506-01A,0.0995161937521254,0.623125920859215,0.100504785702151,0.0193556585119026,0,0.157497441174606,0,0,0.237237957756012,1.03137610903758
TCGA-25-1870-01A,0.125414472569586,0.365145333510854,0.129017553344277,0.0741509215377024,0,0.306271719037581,0,0,0.318933556319276,0.970188291873615
TCGA-09-0366-01A,0.0162956927264209,0.448201923574531,0.048008865513519,0.00750560182175037,0,0.479987916363779,0,0,0.287870712215901,1.02991866826386
TCGA-30-1892-01A,0.0820671739736375,0.162250688223626,0.192804643228884,0.516127122667311,0,0.0467503719065407,0,0,0.165194828243554,1.06006110120411
TCGA-13-0893-01B,0.086572696575985,0.256536519871654,0.129163918185013,0.193166860325862,0,0.334560005041485,0,0,0.394419723518588,0.927679557199643
TCGA-09-2056-01B,0.178054177448951,0.466984592095594,0.12522448984056,0.0589321842772407,0,0.170804556337654,0,0,0.274046126945936,0.988836649055608
TCGA-29-1781-01A,0.227020283995775,0.189801978693044,0.127692120800436,0.0663502313434472,0,0.389135385167298,0,0,0.51544532559309,0.857854355492251
TCGA-29-1699-01A,0.176962685185965,0.132091336082094,0.169082640351065,0.090858411546836,0,0.431004926834039,0,0,0.399454770963903,0.934134327722298
TCGA-04-1364-01A,0.02466124033892,0.45429493349352,0.437283895962213,0.067823188469911,0,0.0159367417354353,0,0,0.178061840914692,1.03147374026554
TCGA-59-2363-01A,0.0604141763764109,0.352571557770835,0.130607188605629,0.397107401279711,0,0.059299675967415,0,0,0.244633599513222,1.00639191856809
TCGA-24-1416-01A,0.0903937704262886,0.570426989522355,0.154225304122345,0.0146745352849032,0,0.170279400644108,0,0,0.275626379621664,1.00151123243885
TCGA-20-1686-01A,0.0327232617130286,0.63787185264923,0.144708716876219,0.128685417950589,0,0.0560107508109337,0,0,0.198111426377243,1.04999222127404
TCGA-29-1697-01A,0.171124748345434,0.453790976207646,0.219177861984104,0.00562440109192992,0,0.150282012370886,0,0,0.225267485109976,1.01064202092364
TCGA-29-1770-01A,0.108662887140602,0.224114857243166,0.194882308890174,0.408193786268608,0,0.0641461604574498,0,0,0.302078942213783,0.972467812745136
TCGA-23-1116-01A,0.0276775521114716,0.379381119740101,0.0871838032010028,0.248634629718599,0.00294329339006919,0.254179601838756,0,0,0.293398219635272,0.981978673633476
TCGA-29-2428-01A,0.102765640025703,0.436677316386103,0.0597528675178081,0.129185340827162,0,0.271618835243223,0,0,0.289213758475343,0.987872316180956
TCGA-24-2293-01A,0.0146885455918065,0.2316472359563,0.0473513038404517,0.510589734799821,0,0.19572317981162,0,0,0.345850796429389,0.964979195096012
TCGA-25-1635-01A,0.0755278980001218,0.188716087454157,0.0263684441449842,0.399948963208752,0.000738195884688928,0.308700411307296,0,0,0.37841407310999,0.942335047602588
TCGA-25-2409-01A,0.100255126083002,0.337407964186703,0.163495692077062,0.22064661635066,0,0.178194601302572,0,0,0.300149782621075,0.968737554011237
TCGA-24-2280-01A,0.0262903444581621,0.180695624861014,0.124101270539511,0.549967561283753,0,0.118945198857559,0,0,0.329131986215139,0.977014707949733
TCGA-29-1710-01A,0.180535993882922,0.139439790786111,0.0714424156431242,0.256663493834284,0,0.351918305853559,0,0,0.492907096554041,0.871257440745135
TCGA-61-2095-01A,0.0264412194502068,0.270682807346067,0.122432560277031,0.212883974274783,0,0.367559438651913,0,0,0.400506123411458,0.927681954531721
TCGA-13-1489-01A,0.153797061557591,0.528610760714619,0.18028215261242,0.0218133916392413,0,0.115496633476129,0,0,0.166939323739181,1.04693721480402
TCGA-23-1023-01A,0.160088158855078,0.164950357822027,0.303055957990627,0.1327655522762,0,0.239139973056068,0,0,0.570614256127166,0.828802451371008
TCGA-29-2425-01A,0.112361400153151,0.312603809906162,0.180840100199148,0.24212074782054,0,0.152073941920998,0,0,0.211679772302055,1.00826017106182
TCGA-36-1574-01A,0.111883944385528,0.351406052770749,0.115985452334758,0.247237591308857,7.66307872415191e-05,0.173410328412867,0,0,0.325429113702208,0.957596215082345
TCGA-30-1853-01A,0.211162482236125,0.192736942302482,0.419553452965682,0.145641131250619,0,0.0309059912450923,0,0,0.237511557742298,0.985716673925933
TCGA-04-1648-01A,0.271437523637311,0.29777678935086,0.125137637937326,0.102042067581764,0,0.20360598149274,0,0,0.380859518368748,0.928049677128713
TCGA-13-1409-01A,0.291907037245145,0.174892644555605,0.26012826896157,0.25629409919169,0,0.0167779500459903,0,0,0.209109167441588,0.999118971978723
TCGA-OY-A56Q-01A,0.103676859524464,0.44964838441394,0.418095207888414,0.00362995020446627,0,0.0249495979687158,0,0.01,0.0889169054577152,1.06891137710498
TCGA-24-1471-01A,0.319213747421038,0.255921272404653,0.168703748688108,0.0135022066673618,0,0.242659024818839,0,0,0.334498729895846,0.954092219576034
TCGA-59-2350-01A,0.0539175581002173,0.454616995023363,0.141843671769084,0.0830716558894916,0,0.266550119217844,0,0,0.284549985826889,0.99064885390097
TCGA-29-1688-01A,0,0.289783779008564,0.0680952248985055,0.19306370758083,0.0128805509838935,0.436176737528207,0,0,0.292333449298689,1.00129198877607
TCGA-61-1724-01A,0.183693048174848,0.263661273795871,0.107895703877517,0.266864882705531,0,0.177885091446233,0,0,0.242446596298451,0.994583121442352
